"dates","arealVal"
"20161005",0.0193728440030179
"20161006",0.0160760912896267
"20161007",0
"20161008",0.300554243316612
"20161009",0.144006264231025
"20161010",2.42286728007992
"20161011",1.2713407231981
"20161012",0
"20161013",0.0116205534622213
"20161014",0.778759103157009
"20161015",14.5731480409928
"20161016",1.23096713970304
"20161017",0.0134462022930317
"20161018",0
"20161019",0.0220060670471574
"20161020",0
"20161021",0.151693540723767
"20161022",0
"20161023",0.908168547610149
"20161024",9.27704400177887
"20161025",7.25685259062815
"20161026",2.55906220565732
"20161027",0.049128224678414
"20161028",0.0188637273232355
"20161029",0.0216943413976685
"20161030",0.683598019618214
"20161031",0.0284762058950651
"20161101",0.108157732068083
"20161102",0.162939686998093
"20161103",0.255506692937127
"20161104",0
"20161105",0
"20161106",0
"20161107",4.26689558473882
"20161108",14.987010903467
"20161109",15.6820092807652
"20161110",57.3231965268844
"20161111",1.42060869918876
"20161112",0
"20161113",0.00195159299306601
"20161114",0.00303581153532587
"20161115",0
"20161116",0
"20161117",0
"20161118",0
"20161119",0
"20161120",0
"20161121",0
"20161122",0
"20161123",0
"20161124",0
"20161125",0.0489636189647149
"20161126",0
"20161127",0
"20161128",0
"20161129",0
"20161130",0
"20161201",0
"20161202",0
"20161203",0.119654307973898
"20161204",0.0190421762156838
"20161205",0
"20161206",0
"20161207",0
"20161208",0
"20161209",0
"20161210",0
"20161211",0
"20161212",0
"20161213",0
"20161214",0
"20161215",0
"20161216",0
"20161217",0
"20161218",0
"20161219",0
"20161220",0
"20161221",0
"20161222",0
"20161223",0
"20161224",0
"20161225",0
"20161226",0
"20161227",0
"20161228",0.266827700386179
"20161229",0
"20161230",0
"20161231",0
